Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ABBVIE INC,COM,00287Y109,2312258,20527861,SH,,DFND,20527861,0,0
AMAZON COM INC,COM,023135106,1443147,419500,SH,,DFND,419500,0,0
AMAZON COM INC,COM,023135106,391490,113800,SH,,DFND,113800,0,0
AMERICAN EXPRESS CO,COM,025816109,322552,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,27746,167926,SH,,DFND,167926,0,0
AMERICAN EXPRESS CO,COM,025816109,2846153,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,138765,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,339895,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,1320953,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,19823296,119973953,SH,,DFND,119973953,0,0
AMERICAN EXPRESS CO,COM,025816109,231275,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,94776,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,525926,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,3322650,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,7967703,58175400,SH,,DFND,58175400,0,0
APPLE INC,COM,037833100,373079,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,8428928,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1664338,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,6551071,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,91685019,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,371436,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,517161,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,161622,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,490637,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,720803,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,5772200,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,1297838,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,86583,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,12854689,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,494719,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,712248,17275000,SH,,DFND,17275000,0,0
BANK AMER CORP,COM,060505104,17496615,424366106,SH,,DFND,424366106,0,0
BANK AMER CORP,COM,060505104,1154440,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,404054,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,384801,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,110042,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,91902,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,23412,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,39754,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,332502,6490384,SH,,DFND,6490384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,374952,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,137408,2682169,SH,,DFND,2682169,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,2102466,41039736,SH,,DFND,41039736,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,109632,2140000,SH,,DFND,2140000,0,0
BRISTOL-MYERS SQUIBB CO,COM,110122108,1756983,26294266,SH,,DFND,26294266,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,3761251,5213461,SH,,DFND,5213461,0,0
CHEVRON CORP NEW,COM,166764100,2421999,23123920,SH,,DFND,23123920,0,0
COCA COLA CO,COM,191216100,43288,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,20100,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,4599,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,4344124,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,98697,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,779790,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,811131,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,15298127,282722729,SH,,DFND,282722729,0,0
COCA COLA CO,COM,191216100,192199,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,51946,960000,SH,,DFND,960000,0,0
DAVITA INC,COM,23918K108,2117411,17582088,SH,,DFND,17582088,0,0
DAVITA INC,COM,23918K108,2229579,18513482,SH,,DFND,18513482,0,0
GENERAL MTRS CO,COM,37045V100,415669,7025000,SH,,DFND,7025000,0,0
GENERAL MTRS CO,COM,37045V100,294016,4969000,SH,,DFND,4969000,0,0
GENERAL MTRS CO,COM,37045V100,1472576,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,497166,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,870773,14716453,SH,,DFND,14716453,0,0
GLOBE LIFE INC,COM,37959E102,20329,213424,SH,,DFND,213424,0,0
GLOBE LIFE INC,COM,37959E102,16620,174489,SH,,DFND,174489,0,0
GLOBE LIFE INC,COM,37959E102,96382,1011888,SH,,DFND,1011888,0,0
GLOBE LIFE INC,COM,37959E102,137096,1439325,SH,,DFND,1439325,0,0
GLOBE LIFE INC,COM,37959E102,334766,3514601,SH,,DFND,3514601,0,0
JOHNSON & JOHNSON,COM,478160104,53886,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,13279388,325634818,SH,,DFND,325634818,0,0
KROGER CO,COM,501044101,1087812,28395000,SH,,DFND,28395000,0,0
KROGER CO,COM,501044101,29442,768531,SH,,DFND,768531,0,0
KROGER CO,COM,501044101,205614,5367119,SH,,DFND,5367119,0,0
KROGER CO,COM,501044101,1044226,27257260,SH,,DFND,27257260,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,200672,4308117,SH,,DFND,4308117,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,362941,7791780,SH,,DFND,7791780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,43477,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,85105,1827072,SH,,DFND,1827072,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,685566,14778322,SH,,DFND,14778322,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,1021987,22030333,SH,,DFND,22030333,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,30176,650480,SH,,DFND,650480,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,266703,5749156,SH,,DFND,5749156,0,0
MARSH & MCLENNAN COS INC,COM,571748102,590391,4196692,SH,,DFND,4196692,0,0
MASTERCARD INC,CL A,57636Q104,1666547,4564756,SH,,DFND,4564756,0,0
MERCK & CO. INC,COM,58933Y105,712155,9157192,SH,,DFND,9157192,0,0
MONDELEZ INTL INC,CL A,609207105,36090,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,26127,72100,SH,,DFND,72100,0,0
MOODYS CORP,COM,615369105,4338992,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,4574468,12623750,SH,,DFND,12623750,0,0
ORGANON & CO,COMMON STOCK,68622V106,46918,1550481,SH,,DFND,1550481,0,0
PROCTER & GAMBLE CO,COM,742718109,42557,315400,SH,,DFND,315400,0,0
RH,COM,74967X103,575037,846888,SH,,DFND,846888,0,0
RH,COM,74967X103,641709,945079,SH,,DFND,945079,0,0
SPDR S&P 500 ETF TR,TR UNIT,78462F103,16866,39400,SH,,DFND,39400,0,0
SIRIUS XM HLDGS INC,COM,82968B103,285529,43658800,SH,,DFND,43658800,0,0
SNOWFLAKE INC,CL A,833445109,1481116,6125376,SH,,DFND,6125376,0,0
STORE CAP CORP,COM,862121100,104048,3015000,SH,,DFND,3015000,0,0
STORE CAP CORP,COM,862121100,20808,602954,SH,,DFND,602954,0,0
STORE CAP CORP,COM,862121100,717712,20797214,SH,,DFND,20797214,0,0
